County,Month,Year,Precip (in),Avg Air Temp (F),Avg Rel Hum (%),Avg Wind Speed (mph)
ContraCosta,11,2019,0.11,71.6K,40,44.0K
ContraCosta,12,2019,2.66K,58.4K,73K,46.5K
ContraCosta,1,2020,0.96,59.0,70K,44.7
ContraCosta,2,2020,0.02,70.0K,35K,40.3K
ContraCosta,3,2020,1.00K,66.2K,48,45.2
ContraCosta,4,2020,1.24,74.1,43,49.7K
ContraCosta,5,2020,0.04,81.5K,36,51.6L
ContraCosta,6,2020,0.00,85.8K,35,54.6K
ContraCosta,7,2020,0.01,85.7,40,57.4K
ContraCosta,8,2020,0.02,90.4K,41K,59.5L
ContraCosta,9,2020,0.01,87.2K,40K,58.6K
ContraCosta,10,2020,0.01,84.8K,31K,50.3K
