County,Month,Year,Precip (in),Avg Air Temp (F),Avg Rel Hum (%),Avg Wind Speed (mph)
Kings,Nov,2019,0.63,71.4	K,35,38.0
Kings,Dec,2019,2.11,59.0,71,46.6	K
Kings,Jan,2020,0.49,58.1,46	K,39.8	L
Kings,Feb,2020,0.00,68.6	K,29,37.3
Kings,Mar,2020,1.80,67.0	K,44,44.9
Kings,Apr,2020,0.89,76.9,36,47.9	K
Kings,May,2020,0.00	K,88.4	K,19	K,43.8	L
Kings,Jun,2020,0.00,94.5	L,25	K,52.4	L
Kings,Jul,2020,0.00,98.8	K,24,54.3
Kings,Aug,2020,0.00,96.9	K,29	K,57.5	L
Kings,Sep,2020,0.00,91.9	K,31,54.8	K
Kings,Oct,2020,0.00,85.1,27,45.1
