County,Month,Year,Precip (in),Avg Air Temp (F),Avg Rel Hum (%),Avg Wind Speed (mph)
Lassen,11,2019,0.11,55.5,33,23.3	K
Lassen,12,2019,2.65	K,42.0	K,58	K,25.7	K
Lassen,1,2020,0.57	K,47.8,43,25.2
Lassen,2,2020,0.01,53.6,25	K,18.8
Lassen,3,2020,1.52,52.0	K,37,25.2	K
Lassen,4,2020,0.39,65.9,25,30.2	K
Lassen,5,2020,0.22	K,72.9,23,33.6
Lassen,6,2020,0.28,81.1	K,19,37.7	K
Lassen,7,2020,0.02,91.3,14,38.5
Lassen,8,2020,0.05,91.8,15,40.0	K
Lassen,9,2020,0.00,85.1	K,14,33.1	K
Lassen,10,2020,0.00,73.4,15,23.8	K
