County,Month,Year,Precip (in),Avg Air Temp (F),Avg Rel Hum (%),Avg Wind Speed (mph)
SanBenito,11,2019,1.68,72.0	K,38,41.2	K
SanBenito,12,2019,5.06,60.6,62,45.6	K
SanBenito,1,2020,1.13	K,61.4,60,43.5
SanBenito,2,2020,0.00,67.8	K,39,39.0
SanBenito,3,2020,3.30	K,63.6,56,44.4	K
SanBenito,4,2020,1.64,69.4,57,48.6
SanBenito,5,2020,0.22,76.9	K,43,49.6	L
SanBenito,6,2020,0.02,79.9	K,41,51.3	L
SanBenito,7,2020,0.00,79.4,46,53.3
SanBenito,8,2020,0.01	K,84.4	L,41	K,55.3	L
SanBenito,9,2020,0.02,85.7	K,39	K,54.6	L
SanBenito,10,2020,0.00,84.7	K,30,46.7	K
