County,Month,Year,Precip (in),Avg Air Temp (F),Avg Rel Hum (%),Avg Wind Speed (mph)
Shasta,Nov,2019,3.32,71.9	K,30	K,34.8	L
Shasta,Dec,2019,8.67	K,54.6	K,67,41.6	K
Shasta,Jan,2020,5.55,55.7,62,41.2
Shasta,Feb,2020,0.00,67.8	K,26,31.9	K
Shasta,Mar,2020,4.11	K,63.1	K,43,38.4	K
Shasta,Apr,2020,1.50,75.0	K,35,44.5	K
Shasta,May,2020,5.20	K,79.8	K,35,49.7	K
Shasta,Jun,2020,0.06,89.8	K,25,52.8	K
Shasta,Jul,2020,0.00,98.2,18,53.0
Shasta,Aug,2020,0.01,99.0,19	K,54.0	K
Shasta,Sep,2020,0.00,93.4	K,19	K,46.3	K
Shasta,Oct,2020,0.00	K,86.8	K,15,35.9	L
