County,Month,Year,Precip (in),Avg Air Temp (F),Avg Rel Hum (%),Avg Wind Speed (mph)
Tehama,11,2019,0.13,70.9	K,33,38.4	K
Tehama,12,2019,2.74	K,55.8	K,3	K,â€‘35.2	L
Tehama,1,2020,1.28	K,56.7,45	K,43.5	L
Tehama,2,2020,0.00,67.3	K,31,34.3
Tehama,3,2020,2.25,64.4	K,46	K,40.6	K
Tehama,4,2020,0.43,75.0	K,40,46.5	K
Tehama,5,2020,2.02	K,80.6,35,50.2	K
Tehama,6,2020,0.19,88.3,31,54.8	K
Tehama,7,2020,0.00,92.8,32,58.9
Tehama,8,2020,0.06,93.7	K,35	K,61.3	K
Tehama,9,2020,0.00,89.5,30	K,52.5	K
Tehama,10,2020,0.00,84.3	K,24,41.8	L
