Nov 2019	
2.26	
0.50	
249	
3.7	K
55.3	K
24.5	
39.1	
69	
31	
49	K
19.2	K
5.7	K
42.9	K
Dec 2019	
1.41	K
3.46	
164	
4.6	
44.0	
23.8	K
32.8	K
90	
54	
73	K
24.0	K
6.5	K
37.9
Jan 2020	
2.24	
1.98	K
217	
4.0	
49.8	
23.3	
36.3	
79	
33	
54	
20.8	
8.1	K
37.2	
Feb 2020	
2.98	K
0.29	
343	
3.2	K
53.5	K
20.6	K
36.3	K
73	K
21	K
44	K
15.7	K
6.8	K
37.6	
Mar 2020	
3.67	
1.89	K
413	
4.3	
49.6	K
24.5	K
36.5	K
84	
40	
60	K
23.3	K
8.2	K
39.5	K
Apr 2020	
5.25	K
1.45	K
524	
5.6	
60.1	
29.8	K
46.1	
82	
31	
52	
29.0	
7.2	K
48.4	K
May 2020	
7.44	
1.10	K
643	
6.1	
67.9	
36.7	K
54.3	
70	
27	
43	
31.2	
8.6	K
56.0	
Jun 2020	
8.31	
0.55	K
683	
7.2	
75.9	K
41.3	K
60.8	K
71	
23	
39	K
35.4	K
8.2	K
59.8	K
Jul 2020	
8.64	K
0.11	
633	
7.8	K
86.2	
46.3	
68.0	K
63	K
17	K
34	K
37.5	K
7.2	K
62.7	K
Aug 2020	
8.06	K
0.22	L
569	L
8.0	L
88.4	L
50.2	L
70.6	L
59	L
15	L
31	L
37.9	L
7.3	L
65.0	L
Sep 2020	
5.97	
0.03	
438	
6.1	
79.7	
43.8	K
62.7	
56	
16	
31	
31.4	
6.8	K
57.0	K
Oct 2020	
4.35	K
0.01	
372	
4.1	K
70.5	
33.4	K
51.3	K
52	
16	
32	K
21.3	K
5.9	K
51.5	
