Nov 2019	
2.33	
0.11	
258	
10.0	
71.6	K
38.9	K
53.0	K
98	
40	
72	K
44.0	K
4.8	K
55.5	K
Dec 2019	
0.98	
2.66	K
144	
11.0	K
58.4	K
42.0	L
49.4	K
99	K
73	K
90	K
46.5	K
4.9	K
54.0	K
Jan 2020	
1.32	
0.96	
191	
10.2	
59.0	
33.4	L
47.3	K
99	K
70	K
91	
44.7	
4.3	
50.7	
Feb 2020	
3.36	K
0.02	
355	
8.7	
70.0	K
37.6	L
52.6	K
95	K
35	K
65	K
40.3	K
5.9	K
49.6	
Mar 2020	
3.70	
1.00	K
383	
10.4	
66.2	K
45.0	K
54.7	
94	
48	
72	
45.2	
6.6	K
52.6	K
Apr 2020	
5.88	
1.24	
533	K
12.4	K
74.1	
53.4	K
62.3	K
89	
43	
65	K
49.7	K
9.2	
57.3	K
May 2020	
7.84	K
0.04	
639	K
13.3	K
81.5	K
56.5	K
68.0	K
83	
36	
58	L
51.6	L
9.5	K
62.7	
Jun 2020	
9.10	K
0.00	
716	K
14.8	K
85.8	K
60.6	K
72.4	K
77	
35	
54	K
54.6	K
10.4	
66.1	
Jul 2020	
8.95	K
0.01	
705	K
16.1	K
85.7	
60.9	
72.0	
84	
40	
61	K
57.4	K
9.3	K
67.2	K
Aug 2020	
7.50	K
0.02	
572	
18.7	K
90.4	K
63.1	L
76.2	K
83	K
41	K
61	L
59.5	L
8.0	
69.6	
Sep 2020	
5.24	K
0.01	
452	
16.9	K
87.2	K
60.5	K
72.9	K
86	K
40	K
62	K
58.6	K
5.5	
69.6	
Oct 2020	
4.08	K
0.01	
366	
12.9	K
84.8	K
51.2	
66.8	K
88	K
31	K
57	K
50.3	K
4.1	
66.2	
