Nov 2019	
2.66	
0.63	
282	
8.0	
71.4	K
39.1	
54.2	
81	
35	
56	
38.0	
3.7	K
59.3	
Dec 2019	
1.14	
2.11	
175	
11.0	K
59.0	
40.2	K
49.1	K
100	
71	
91	K
46.6	K
4.0	
55.3	
Jan 2020	
1.71	K
0.49	
227	K
8.0	K
58.1	
38.1	
47.3	
86	K
46	K
80	L
39.8	L
3.8	K
52.1	
Feb 2020	
3.14	
0.00	
374	K
7.8	
68.6	K
36.2	
51.5	
92	
29	
59	
37.3	
4.4	K
52.4	
Mar 2020	
3.72	
1.80	
414	K
10.3	
67.0	K
42.9	
54.7	
96	
44	
71	
44.9	
4.9	K
56.5	
Apr 2020	
6.00	
0.89	
560	K
11.6	K
76.9	
49.9	K
63.7	K
90	
36	
59	K
47.9	K
6.3	K
60.5	
May 2020	
8.77	K
0.00	K
697	K
9.3	K
88.4	K
54.8	K
72.7	K
62	K
19	K
39	L
43.8	L
6.5	K
67.4	K
Jun 2020	
9.34	K
0.00	
719	K
15.0	K
94.5	L
61.7	L
80.3	L
65	K
25	K
40	L
52.4	L
6.3	K
73.1	
Jul 2020	
9.36	
0.00	
716	K
14.5	
98.8	K
61.2	
81.2	
69	
24	
40	
54.3	
4.9	
76.8	
Aug 2020	
7.86	
0.00	
577	K
16.6	K
96.9	K
65.3	L
82.1	K
69	K
29	K
44	L
57.5	L
4.6	
77.3	
Sep 2020	
5.81	
0.00	
457	
14.8	K
91.9	K
59.7	K
75.3	
74	
31	
49	K
54.8	K
4.3	
73.7	
Oct 2020	
4.44	
0.00	
372	
10.5	
85.1	
49.9	
66.7	
74	
27	
46	
45.1	
3.6	
68.3	
