Nov 2019	
3.00	K
1.30	K
331	K
6.9	K
73.1	L
32.1	K
55.3	K
70	K
26	K
48	L
32.8	L
4.8	K
51.6	K
Dec 2019	
1.58	K
3.08	
227	
10.7	K
72.9	L
35.7	K
49.5	K
98	K
59	K
83	L
41.8	L
5.2	
44.7	
Jan 2020	
2.73	K
0.04	
313	K
10.2	K
82.1	L
33.3	K
53.4	K
97	K
39	K
72	L
43.6	L
6.4	
44.3	
Feb 2020	
4.06	K
0.06	
422	K
9.4	K
86.0	L
33.5	K
57.5	L
89	K
26	K
54	L
38.7	L
6.4	
48.6	
Mar 2020	
4.57	K
2.06	
465	K
12.8	K
94.0	L
41.3	K
57.8	K
95	K
52	K
66	L
44.5	L
7.7	K
50.8	
Apr 2020	
6.22	K
2.59	
580	K
15.0	K
91.6	L
46.9	L
65.4	K
93	K
49	K
58	L
48.4	L
7.5	
56.3	K
May 2020	
8.73	
0.00	
715	K
9.5	K
82.8	
49.0	
66.3	
74	
25	
43	K
42.7	K
8.4	
63.8	K
Jun 2020	
8.68	K
0.00	
725	K
11.0	K
87.4	K
53.6	K
71.3	K
72	
25	
42	K
46.3	K
7.9	K
67.1	
Jul 2020	
9.74	
0.00	
695	K
10.3	
94.0	
55.8	
76.8	
63	
19	
33	
45.0	
6.6	
68.3	
Aug 2020	
8.45	K
0.00	
598	
12.9	K
96.6	K
59.6	K
79.0	K
66	
22	
38	L
50.7	L
6.0	
70.6	
Sep 2020	
6.24	K
0.00	
500	
10.5	
93.8	
51.2	
72.3	K
68	
19	
38	K
45.2	K
4.4	
66.8	
Oct 2020	
4.36	
0.00	
363	
8.4	K
85.8	
42.4	
63.0	K
70	
19	
41	K
38.0	K
4.8	K
61.1	
