Nov 2019	
2.21	K
0.89	
250	
8.6	
71.9	
34.7	K
50.3	
99	
36	
69	
40.3	
2.4	
52.6	K
Dec 2019	
1.13	
4.06	
152	
10.0	K
60.2	K
38.5	K
48.5	K
99	
63	
85	K
44.1	K
3.2	K
51.1	
Jan 2020	
1.31	
0.71	
193	K
9.5	K
59.5	
35.1	
46.2	
100	
64	
89	K
43.0	K
2.7	
47.5	
Feb 2020	
2.90	K
0.03	K
370	K
8.0	K
70.0	K
32.7	
49.5	K
99	K
32	K
65	K
38.3	K
2.9	K
46.2	K
Mar 2020	
3.41	K
2.37	K
419	K
10.0	K
67.8	K
40.9	
53.3	K
97	K
44	K
72	
44.2	
3.4	K
51.7	K
Apr 2020	
5.36	
1.63	
552	K
11.9	K
75.7	
46.7	K
60.7	K
95	
42	
66	K
48.8	K
4.5	
55.9	K
May 2020	
7.71	
0.40	
681	K
12.4	K
85.3	K
51.9	
68.8	K
89	
27	
51	K
49.7	K
4.8	
62.1	L
Jun 2020	
8.34	
0.00	
745	K
14.3	K
90.8	
55.7	K
74.1	K
89	
27	
49	K
53.5	K
4.4	
67.3	L
Jul 2020	
8.35	
0.00	
734	K
15.8	K
97.6	
54.8	K
76.7	
93	
29	
50	K
56.8	K
2.4	
70.1	L
Aug 2020	
6.79	K
0.00	
578	K
17.6	K
97.5	K
59.0	K
78.0	K
92	K
30	K
53	L
57.8	L
2.4	K
72.9	L
Sep 2020	
4.96	
0.01	
465	K
15.9	K
92.0	K
54.7	K
71.9	K
96	
30	
60	L
56.6	L
2.4	
68.3	K
Oct 2020	
3.70	K
0.04	K
378	K
12.3	
85.2	
45.5	
62.7	K
98	
27	
62	K
49.4	K
2.0	
62.7	
