Nov 2019	
2.32	
0.82	
242	K
7.7	
67.9	
47.3	
55.9	
71	
35	
52	
37.4	
3.3	K
63.7	K
Dec 2019	
0.86	
6.54	K
129	K
9.7	K
56.6	
42.5	
48.7	
94	K
61	K
81	K
43.1	K
2.8	
52.9	
Jan 2020	
1.16	
2.93	
164	
9.4	K
56.5	
41.4	
48.0	
95	
63	
82	K
42.8	K
2.8	
50.2	
Feb 2020	
3.06	
0.01	
363	K
7.0	K
65.9	
41.4	K
52.7	K
76	
32	
51	K
34.6	K
3.5	K
52.9	
Mar 2020	
2.99	
4.11	
344	K
8.9	K
61.8	K
42.9	
51.6	K
88	
50	
70	K
41.2	K
3.3	
56.5	
Apr 2020	
4.98	
3.71	K
521	K
10.7	
71.0	
48.5	
59.4	
85	
42	
63	
45.7	
3.2	
62.4	K
May 2020	
6.45	K
1.50	K
591	K
11.6	K
79.9	
54.8	K
67.0	K
77	K
32	K
53	K
48.1	K
3.2	K
72.0	K
Jun 2020	
7.93	
0.24	K
698	K
12.7	K
87.9	
60.2	
73.7	
67	
26	
44	K
50.3	K
3.5	
73.7	
Jul 2020	
8.79	
0.02	K
712	K
12.5	
94.4	
64.9	
79.2	
60	
21	
37	
50.2	
3.3	
79.4	
Aug 2020	
7.65	K
0.02	
586	K
13.7	K
95.6	K
67.6	K
80.9	K
60	
23	
38	L
52.4	L
3.2	
78.8	
Sep 2020	
5.50	
0.53	
443	K
12.0	
90.2	K
63.5	K
75.5	K
63	
25	
41	K
49.1	K
3.1	
72.7	
Oct 2020	
4.71	
0.04	K
383	K
8.1	K
82.9	
57.7	
68.8	
51	
21	
34	K
38.1	K
3.4	
69.6	K
