Nov 2019	
3.22	
2.82	
297	
6.1	K
77.5	K
45.3	K
59.3	K
61	
22	
40	K
29.5	K
3.5	
64.6	K
Dec 2019	
1.60	K
1.99	K
207	
8.4	K
62.9	
40.9	K
50.5	
85	
43	
66	K
38.6	K
2.7	
53.2	
Jan 2020	
2.36	K
0.30	
289	
7.6	
67.6	
38.9	
51.4	
84	
35	
60	
36.8	
2.7	
52.3	
Feb 2020	
3.28	K
0.39	
376	
6.6	
71.3	
39.5	
53.7	K
77	
23	
47	K
32.5	K
3.2	
55.6	K
Mar 2020	
3.32	K
4.03	K
381	
9.5	K
65.1	K
42.5	K
52.9	K
93	
45	
70	K
42.7	K
3.8	K
57.1	K
Apr 2020	
4.75	K
0.39	K
500	K
12.0	K
73.6	K
49.8	K
60.3	K
91	
46	
69	L
48.7	L
3.6	K
62.5	K
May 2020	
7.89	K
0.03	
691	K
14.2	K
89.3	K
54.4	K
71.0	K
89	K
28	K
55	L
53.0	L
4.1	
78.0	K
Jun 2020	
7.70	K
0.00	
673	K
13.9	K
91.7	K
57.0	K
72.7	K
84	
27	
52	K
52.0	K
4.1	K
82.9	K
Jul 2020	
9.16	K
0.07	
715	K
13.6	
101.1	K
61.5	K
80.8	K
71	
17	
39	K
52.3	K
3.8	K
88.0	
Aug 2020	
8.34	K
0.00	
617	K
13.5	K
101.9	K
64.8	K
81.9	K
65	
17	
37	K
51.8	K
3.6	K
90.4	
Sep 2020	
6.47	K
0.00	
503	
10.0	
100.1	K
62.0	K
79.6	K
55	
13	
30	K
43.3	K
2.6	K
85.7	K
Oct 2020	
4.65	K
0.01	
404	
9.2	
90.9	K
56.1	
71.7	K
60	
18	
37	K
39.7	K
2.3	K
79.1	K
