Nov 2019	
2.02	K
0.81	
228	
8.3	K
69.3	
35.5	K
51.1	K
93	K
36	K
65	K
39.4	K
3.0	
54.2	K
Dec 2019	
0.82	K
4.26	
145	
10.6	K
57.4	
41.2	K
48.7	K
98	
70	
89	K
45.4	K
2.3	K
52.9	
Jan 2020	
1.20	K
1.48	
184	
9.9	K
56.9	
37.3	
47.0	
99	K
71	K
89	
44.0	
3.7	
50.1	
Feb 2020	
2.92	K
0.02	
355	K
7.9	
67.1	K
35.6	
50.4	
92	
36	
63	
37.8	
4.1	K
50.0	
Mar 2020	
2.94	K
1.92	
356	
9.5	
64.4	K
40.9	K
52.3	
94	
48	
72	
42.9	
3.1	K
52.9	K
Apr 2020	
5.06	K
2.38	
498	
11.2	
73.4	
46.2	K
59.4	
92	
42	
65	
47.2	
5.2	K
57.2	K
May 2020	
7.52	K
0.16	
630	K
11.7	K
82.8	K
50.4	K
66.4	K
88	
30	
54	K
48.4	K
6.9	K
64.8	
Jun 2020	
8.79	
0.03	
706	K
12.6	K
88.7	K
55.4	K
71.3	K
80	
27	
48	K
50.3	K
7.8	K
69.7	
Jul 2020	
8.89	
0.00	
673	
13.2	
91.7	
55.0	K
71.8	
85	
26	
50	
51.9	
7.9	K
72.4	
Aug 2020	
7.43	K
0.03	
530	
14.8	K
94.8	K
59.0	K
75.6	K
83	K
27	K
51	L
54.3	L
6.3	
74.7	K
Sep 2020	
5.39	K
0.00	
407	
13.8	K
90.6	K
55.3	K
71.5	K
87	K
27	K
53	K
53.0	K
5.7	
72.0	K
Oct 2020	
4.34	K
0.02	
342	
10.3	K
84.7	K
46.5	K
63.8	K
86	
22	
52	L
45.2	L
4.8	K
66.4	
