Nov 2019	
2.26	K
1.68	
266	
9.0	K
72.0	K
38.5	K
51.7	
94	
38	
69	K
41.2	K
3.0	K
56.0	
Dec 2019	
1.25	K
5.06	
163	
10.6	K
60.6	
41.6	K
50.2	K
97	
62	
84	K
45.6	K
3.0	K
52.7
Jan 2020	
1.53	K
1.13	K
213	
9.7	
61.4	
38.1	
48.0	
98	
60	
84	
43.5	
3.0	
49.7	
Feb 2020	
2.76	
0.00	
338	
8.3	
67.8	K
35.2	
49.6	
94	
39	
68	
39.0	
3.5	
50.5	
Mar 2020	
2.94	
3.30	K
344	
10.1	
63.6	
40.5	K
50.7	K
97	
56	
79	K
44.4	K
3.8	
53.1	
Apr 2020	
4.36	
1.64	
473	
11.8	
69.4	
43.4	K
55.7	
97	
57	
78	
48.6	
3.9	
57.3	
May 2020	
6.59	K
0.22	
621	
12.2	
76.9	K
46.7	K
61.0	K
95	
43	
68	L
49.6	L
5.1	
63.0	
Jun 2020	
7.38	
0.02	
690	
13.0	
79.9	K
49.6	
63.4	K
94	
41	
66	L
51.3	L
5.7	K
67.2	
Jul 2020	
7.20	
0.00	
654	
13.9	
79.4	
50.6	
62.8	
95	
46	
72	
53.3	
5.5	
68.7	
Aug 2020	
6.38	K
0.01	K
553	K
15.3	K
84.4	L
53.5	L
64.7	L
92	K
41	K
73	L
55.3	L
4.8	K
71.8	K
Sep 2020	
4.62	K
0.02	
425	
14.6	
85.7	K
52.6	K
65.5	L
94	K
39	K
70	L
54.6	L
3.6	K
70.1	
Oct 2020	
3.94	K
0.00	
345	
11.2	K
84.7	K
47.0	
62.3	K
88	
30	
59	K
46.7	K
3.4	
67.0	
