Nov 2019	
2.20	
1.31	
258	
9.3	
71.1	K
38.2	K
51.8	
97	
40	
71	
42.4	
3.4	K
57.0	K
Dec 2019	
1.05	
2.84	
155	
11.0	K
59.1	
42.1	
49.6	
100	
70	
90	K
46.5	K
5.1	K
55.5	K
Jan 2020	
1.33	
0.90	
200	
10.6	
59.5	
38.5	
47.9	
100	
72	
93	
45.9	
3.9	
50.7	
Feb 2020	
3.19	K
0.01	
377	K
8.7	
69.4	K
37.2	
51.7	
96	
36	
66	
40.4	
4.6	K
51.0	K
Mar 2020	
3.49	
1.32	
408	K
11.1	
67.4	K
41.7	K
53.8	K
98	
51	
78	K
46.9	K
4.3	
54.8	
Apr 2020	
5.51	K
0.79	
550	K
12.1	
75.7	
48.3	K
61.6	K
93	
42	
66	K
49.2	K
5.5	
61.5	
May 2020	
7.50	K
0.53	
652	K
12.6	
84.9	K
51.8	
68.5	K
93	
31	
54	L
50.0	L
5.4	
69.6	L
Jun 2020	
8.58	K
0.02	
720	K
14.0	K
91.5	K
57.3	K
74.4	K
82	
29	
48	K
53.0	K
5.9	K
75.2	L
Jul 2020	
8.74	K
0.00	
713	K
16.3	
97.8	K
58.0	
77.5	
89	
30	
51	
57.6	
5.0	
74.7	
Aug 2020	
7.22	K
0.02	K
578	K
20.1	K
100.0	L
62.3	L
79.3	L
90	K
34	K
57	L
61.6	L
4.2	K
73.6	
Sep 2020	
5.35	K
0.01	
459	
16.7	K
92.1	L
57.7	K
73.2	L
93	K
32	K
59	L
56.8	L
3.9	K
74.1	K
Oct 2020	
4.00	K
0.01	
369	K
12.0	K
85.6	K
48.4	K
64.4	K
92	
27	
59	L
49.3	L
3.3	K
66.9	
