Nov 2019	
2.30	K
3.32	
249	K
7.1	
71.9	K
37.6	K
53.5	K
83	K
30	K
54	L
34.8	L
3.4	
52.1	
Dec 2019	
0.81	
8.67	K
116	
9.2	
54.6	K
39.4	
46.7	K
97	
67	
84	K
41.6	K
3.1	
47.0	
Jan 2020	
0.96	
5.55	
146	K
8.9	
55.7	
36.6	
46.0	
99	
62	
84	
41.2	
3.1	
46.0	
Feb 2020	
2.82	K
0.00	
330	K
6.2	
67.8	K
35.0	K
50.9	K
85	
26	
50	K
31.9	K
3.9	
48.1	
Mar 2020	
3.21	K
4.11	K
366	K
8.1	K
63.1	K
38.3	K
50.9	K
93	
43	
66	K
38.4	K
4.0	K
51.8	
Apr 2020	
5.08	
1.50	
540	K
10.3	K
75.0	K
43.2	K
59.5	K
95	
35	
59	K
44.5	K
3.4	
58.6	
May 2020	
5.85	
5.20	K
549	K
12.6	K
79.8	K
50.1	
65.3	K
95	
35	
60	K
49.7	K
3.3	K
66.8	
Jun 2020	
7.64	K
0.06	
694	K
14.0	K
89.8	K
57.6	K
74.3	K
89	
25	
48	K
52.8	K
3.5	K
74.9	
Jul 2020	
8.56	
0.00	
685	K
13.9	
98.2	
60.0	
79.9	
83	
18	
40	
53.0	
3.4	K
79.5	
Aug 2020	
6.89	
0.01	
542	
14.4	K
99.0	
61.1	K
79.9	K
81	K
19	K
42	K
54.0	K
3.3	K
80.1	
Sep 2020	
5.33	
0.00	
431	K
11.1	K
93.4	K
55.7	K
73.8	K
74	K
19	K
40	K
46.3	K
3.5	K
75.4	
Oct 2020	
4.43	
0.00	K
368	K
7.5	K
86.8	K
48.1	K
66.3	K
68	
15	
36	L
35.9	L
3.9	K
68.1	
