Nov 2019	
2.35	K
0.60	
272	K
8.9	
71.6	
38.2	
52.5	
96	
37	
66	
41.0	
3.6	K
52.0	K
Dec 2019	
1.02	K
3.74	
156	
10.4	
58.3	
40.0	
48.2	
99	
69	
89	
44.9	
4.2	K
50.2	
Jan 2020	
1.40	
1.09	
200	
9.6	
58.8	
36.6	
46.7	
100	
64	
88	
43.2	
4.0	
47.9	
Feb 2020	
3.23	
0.02	
363	K
7.8	K
69.2	
36.2	
51.1	
92	
34	
61	K
37.3	K
5.1	K
49.1	
Mar 2020	
3.58	
1.11	
402	K
9.4	
64.8	K
40.6	K
51.8	K
96	
48	
72	K
42.6	K
5.5	K
52.1	K
Apr 2020	
5.52	
0.70	
540	K
11.1	
74.2	
47.0	
59.4	
92	
41	
65	
46.7	
7.7	
57.6	K
May 2020	
7.65	K
0.33	
656	K
12.1	K
82.2	K
51.9	K
66.1	K
90	K
33	K
56	K
49.2	K
8.2	K
62.8	
Jun 2020	
8.94	
0.00	
730	K
13.1	K
87.9	
56.1	K
70.8	
82	
30	
51	K
51.4	K
9.9	K
66.6	
Jul 2020	
9.46	
0.01	K
725	K
13.8	
90.2	
56.5	
71.1	
85	
29	
54	
53.2	
11.7	
67.6	
Aug 2020	
7.96	K
0.00	
583	K
15.5	K
93.5	K
59.1	L
75.1	K
81	K
31	K
55	L
55.3	L
9.4	K
70.1	K
Sep 2020	
5.78	K
0.00	
458	
14.6	K
90.3	K
58.9	K
72.0	K
87	K
30	K
56	K
54.4	K
7.8	
68.1	
Oct 2020	
4.48	
0.00	
381	K
10.8	K
86.4	K
50.5	K
65.9	K
82	K
25	K
50	L
45.7	L
5.5	K
63.6	
