Nov 2019	
3.00	K
3.16	
306	K
8.9	K
73.7	K
48.4	K
59.8	K
81	K
34	K
55	K
40.0	K
3.7	
61.3	
Dec 2019	
2.12	
4.35	
219	
8.8	
64.1	
46.5	K
54.8	
81	
44	
61	
39.4	
4.1	K
57.4	
Jan 2020	
2.76	
1.07	
290	
8.2	
68.3	
45.3	K
56.2	
80	
36	
56	
38.6	
3.7	
57.1	
Feb 2020	
3.78	
0.87	
400	K
7.9	K
70.4	K
45.6	K
57.2	K
77	K
31	K
52	K
36.4	K
4.4	K
57.7	
Mar 2020	
3.32	
3.59	
388	K
10.6	
65.4	
45.7	K
54.3	K
93	
52	
74	K
45.6	K
3.5	
60.1	K
Apr 2020	
4.46	K
1.92	K
480	
12.5	K
72.3	K
49.9	L
60.3	K
93	K
51	K
73	L
50.3	L
3.6	
64.4	L
May 2020	
6.77	K
1.74	K
670	K
13.9	
79.0	K
52.5	L
63.8	L
93	K
45	K
70	L
53.7	L
3.7	
69.5	K
Jun 2020	
6.37	K
2.55	K
645	K
14.8	K
79.1	L
56.6	K
65.9	L
91	K
49	K
74	L
56.6	L
3.8	K
72.2	
Jul 2020	
7.27	
1.11	K
701	K
16.0	K
82.3	K
55.4	K
67.7	K
95	
48	
70	K
57.1	K
3.4	
75.5	
Aug 2020	
6.59	K
0.00	
600	
17.9	K
86.6	L
60.1	K
71.2	L
93	K
45	K
71	L
59.7	L
3.2	K
78.0	K
Sep 2020	
5.28	K
0.00	
488	
15.1	K
87.8	K
58.4	K
70.0	L
89	K
36	K
62	L
55.3	L
3.2	K
75.0	K
Oct 2020	
4.30	
0.00	
385	K
12.6	
83.8	K
56.6	K
68.4	K
80	
34	
55	K
49.2	K
3.4	
72.6
