Nov 2019	
2.42	
0.00	
251	
8.1	
71.5	K
40.4	
54.0	
83	
33	
58	
38.7	
3.6	K
52.9	K
Dec 2019	
0.97	K
0.46	K
137	K
10.6	K
57.1	
43.5	K
49.4	K
98	K
72	K
88	K
45.5	K
4.6	K
49.6	K
Jan 2020	
1.27	
1.01	
180	
10.1	
57.8	
40.6	
48.3	K
100	
66	
87	K
44.4	K
4.2	
48.3	
Feb 2020	
3.51	
0.45	
341	
7.4	K
68.7	K
40.1	
53.9	K
82	
31	
53	K
36.1	K
5.6	K
51.3	
Mar 2020	
3.68	
0.75	
377	
8.8	
66.0	K
42.1	K
53.7	K
90	
41	
64	K
40.9	K
5.3	K
54.5	
Apr 2020	
5.48	
0.80	K
531	K
10.5	K
76.0	
48.4	K
62.0	K
86	
34	
57	K
45.0	K
5.1	
63.6	K
May 2020	
7.33	
0.70	K
618	K
11.6	K
83.4	
54.4	K
68.7	K
81	
27	
49	K
47.8	K
5.3	
69.8	K
Jun 2020	
8.24	
0.25	
671	
13.2	K
90.4	
58.5	
74.1	
73	
26	
45	K
51.3	K
5.3	K
77.3	K
Jul 2020	
8.31	K
0.13	K
662	K
12.3	K
93.8	
57.3	
75.0	K
69	K
22	K
51	L
55.6	L
4.6	K
78.9	L
Aug 2020	
6.93	K
0.00	
539	
15.7	K
95.7	K
61.0	L
78.0	K
78	K
26	K
50	L
56.1	L
4.1	K
78.4	L
Sep 2020	
5.41	K
0.00	
420	
13.4	K
92.2	K
58.9	K
74.5	K
78	K
24	K
47	K
51.8	K
4.2	K
72.8	K
Oct 2020	
4.69	K
0.00	
345	
9.3	K
86.1	K
52.4	K
67.9	K
69	K
20	K
42	L
41.8	L
4.4	K
64.5	
