,AcresBurned,ArchiveYear,CalFireIncident,Counties,Extinguished,Location,MajorIncident,Started
0,257314.0,2013,True,Tuolumne,2013-09-06T18:30:00Z,3 miles east of Groveland along Hwy 120,False,2013-08-17T15:25:00Z
1,30274.0,2013,True,Los Angeles,2013-06-08T18:30:00Z,Angeles National Forest,False,2013-05-30T15:28:00Z
2,27531.0,2013,True,Riverside,2013-07-30T18:00:00Z,Hwy 243 & Hwy 74 near Mountain Center,False,2013-07-15T13:43:00Z
3,27440.0,2013,False,Placer,2013-08-30T08:00:00Z,"Deadwood Ridge, northeast of Foresthill",False,2013-08-10T16:30:00Z
4,24251.0,2013,True,Ventura,2013-05-11T06:30:00Z,"Southbound Highway 101 at Camarillo Springs Road, Camarillo",True,2013-05-02T07:01:00Z
5,22992.0,2013,False,Fresno,2013-09-24T20:15:00Z,Seven miles north of Big Creek,False,2013-07-22T22:15:00Z
6,20292.0,2013,True,Riverside,2013-08-12T18:00:00Z,"Poppet Flats Rd near Hwy 243, south of Banning",True,2013-08-07T14:05:00Z
7,14754.0,2013,False,Siskiyou,2013-08-31T06:45:00Z,"North Fork of the Salmon River, West of Sawyers Bar, Klamath National Forest",False,2013-07-31T22:00:00Z
8,12503.0,2013,False,Humboldt,2013-08-12T12:00:00Z,Tish Tang Ridge east of Hoopa Valley Reservation,False,2013-08-10T11:40:00Z
9,11429.0,2013,True,Tehama,2013-08-29T16:45:00Z,"Near Deer Creek, 12 miles east of Los Molinos. ",True,2013-08-23T14:15:00Z
10,8073.0,2013,True,Shasta,2013-09-15T07:30:00Z,"Community of Igo, 10 miles southwest of Redding",True,2013-09-09T12:32:00Z
11,7055.0,2013,True,San Diego,2013-07-15T06:15:00Z,"off Sunrise Hwy, 9 miles southeast of Julian",True,2013-07-06T12:55:00Z
12,6965.0,2013,True,Tehama,2013-05-09T09:00:00Z,"140K3 Line, 8 miles northwest of Butte Meadows",True,2013-05-01T09:12:00Z
13,4346.0,2013,True,Kern,2013-05-21T19:45:00Z,"South of Frazier Mountain Park Rd, South of Frazier Park",True,2013-05-15T12:50:00Z
14,4346.0,2013,True,Ventura,2013-05-21T19:45:00Z,"South of Frazier Mountain Park Rd, South of Frazier Park",True,2013-05-15T12:50:00Z
15,3505.0,2013,True,Sonoma,2013-11-27T18:15:00Z,"The Geysers area, 10 miles northeast of Geyserville",True,2013-11-22T02:04:00Z
16,3166.0,2013,True,Riverside,2013-05-04T18:30:00Z,Mias Canyon and Bluff Road in Banning,True,2013-05-01T12:38:00Z
17,3111.0,2013,True,Contra Costa,2013-09-14T17:30:00Z,"off Morgan Territory Road, Southeast of Clayton",True,2013-09-08T13:08:00Z
18,2781.0,2013,True,San Diego,2013-05-26T17:45:00Z,"San Felipe Road, north of Highway 78, East of Julian",True,2013-05-23T12:20:00Z
19,2462.0,2013,True,Butte,2013-08-22T18:00:00Z,southeast of Oroville,True,2013-08-16T16:37:00Z
20,2236.0,2013,False,San Diego,2013-10-09T19:00:00Z,"On Camp Pendleton, west of Fallbrook",False,2013-10-05T12:45:00Z
21,2060.0,2013,False,Tulare,2013-09-24T20:15:00Z,Golden Trout Wilderness on the Sequoia National Forest.,False,2013-08-24T14:31:00Z
22,1984.0,2013,False,Santa Barbara,2013-05-30T19:30:00Z,"Southeast of Lake Cachuma, approx. 12 miles southeast of Santa Ynez",False,2013-05-27T14:45:00Z
23,1708.0,2013,True,Mariposa,2013-06-26T11:15:00Z,"Off Carstens Road, east of 140 in the Midpines area.",True,2013-06-16T14:12:00Z
24,1383.0,2013,True,Riverside,2013-08-09T18:45:00Z,"Ortega Highway, west of Lake Elsinoire",False,2013-08-05T10:10:00Z
25,1271.0,2013,True,San Diego,2013-05-31T06:15:00Z,"Banner Grade area, south of Hwy 78 & east of Hwy 79, southeast of Julian",True,2013-05-26T12:04:00Z
26,1070.0,2013,False,Tuolumne,2013-08-14T08:30:00Z,"Near Beardsley Lake, northeast of Sonora",False,2013-08-05T06:00:00Z
27,917.0,2013,False,Monterey,2013-12-20T20:00:00Z,Pfeiffer Ridge Road and Highway 1 near Big Sur,False,2013-12-16T00:20:00Z
28,794.0,2013,False,Kern,2013-08-24T13:45:00Z,Lower Kern River Canyon area off Highway 178,False,2013-08-18T23:12:00Z
