,month,day,temp,RH,wind,rain,area
0,mar,fri,8.2,51,6.7,0.0,0.0
1,oct,tue,18.0,33,0.9,0.0,0.0
2,oct,sat,14.6,33,1.3,0.0,0.0
3,mar,fri,8.3,97,4.0,0.2,0.0
4,mar,sun,11.4,99,1.8,0.0,0.0
5,aug,sun,22.2,29,5.4,0.0,0.0
6,aug,mon,24.1,27,3.1,0.0,0.0
7,aug,mon,8.0,86,2.2,0.0,0.0
8,sep,tue,13.1,63,5.4,0.0,0.0
9,sep,sat,22.8,40,4.0,0.0,0.0
10,sep,sat,17.8,51,7.2,0.0,0.0
11,sep,sat,19.3,38,4.0,0.0,0.0
12,aug,fri,17.0,72,6.7,0.0,0.0
13,sep,mon,21.3,42,2.2,0.0,0.0
14,sep,wed,26.4,21,4.5,0.0,0.0
15,sep,fri,22.9,44,5.4,0.0,0.0
16,mar,sat,15.1,27,5.4,0.0,0.0
17,oct,mon,16.7,47,4.9,0.0,0.0
18,mar,wed,15.9,35,4.0,0.0,0.0
19,apr,sat,9.3,44,4.5,0.0,0.0
20,sep,tue,18.3,40,2.7,0.0,0.0
21,sep,mon,19.1,38,2.7,0.0,0.0
22,jun,sun,21.0,44,4.5,0.0,0.0
23,aug,sat,19.5,43,5.8,0.0,0.0
24,aug,sat,23.7,32,5.8,0.0,0.0
25,aug,sun,16.3,60,5.4,0.0,0.0
26,sep,fri,19.0,34,5.8,0.0,0.0
27,sep,mon,19.4,48,1.3,0.0,0.0
28,sep,sat,30.2,24,2.7,0.0,0.0
29,sep,sun,22.8,39,3.6,0.0,0.0
30,sep,fri,25.4,24,3.6,0.0,0.0
31,sep,mon,11.2,78,7.6,0.0,0.0
32,sep,fri,20.6,37,1.8,0.0,0.0
33,sep,sun,17.7,39,3.6,0.0,0.0
34,sep,mon,21.2,32,2.7,0.0,0.0
35,sep,tue,18.2,62,4.5,0.0,0.0
36,oct,tue,21.7,24,4.5,0.0,0.0
37,oct,fri,11.3,60,5.4,0.0,0.0
38,oct,sat,17.8,27,4.0,0.0,0.0
39,mar,tue,14.1,43,2.7,0.0,0.0
40,jul,tue,23.3,37,3.1,0.0,0.0
41,aug,sat,18.4,42,6.7,0.0,0.0
42,aug,tue,16.6,54,5.4,0.0,0.0
43,sep,sat,19.6,48,2.7,0.0,0.0
44,sep,wed,12.9,74,4.9,0.0,0.0
45,sep,wed,25.9,24,4.0,0.0,0.0
46,sep,mon,14.7,70,3.6,0.0,0.0
47,jul,mon,23.0,36,3.1,0.0,0.0
48,mar,mon,11.8,35,1.8,0.0,0.0
49,mar,mon,11.0,46,5.8,0.0,0.0
50,sep,thu,20.8,17,1.3,0.0,0.0
51,aug,sun,21.5,34,2.2,0.0,0.0
52,aug,wed,20.4,42,4.9,0.0,0.0
53,aug,wed,20.4,42,4.9,0.0,0.0
54,aug,thu,17.6,45,3.6,0.0,0.0
55,sep,thu,27.7,24,2.2,0.0,0.0
56,sep,tue,17.8,63,4.9,0.0,0.0
57,oct,sun,13.8,50,2.7,0.0,0.0
58,feb,mon,13.9,40,5.4,0.0,0.0
59,feb,fri,12.3,51,0.9,0.0,0.0
60,mar,sun,11.5,39,5.8,0.0,0.0
61,mar,sun,5.5,59,6.3,0.0,0.0
62,aug,thu,18.8,35,4.9,0.0,0.0
63,aug,sun,20.8,33,2.7,0.0,0.0
64,aug,mon,23.1,31,3.1,0.0,0.0
65,aug,thu,18.6,44,4.5,0.0,0.0
66,sep,fri,23.0,37,4.5,0.0,0.0
67,sep,fri,19.6,33,5.4,0.0,0.0
68,sep,fri,19.6,33,6.3,0.0,0.0
69,mar,fri,17.2,26,4.5,0.0,0.0
70,mar,fri,15.8,27,7.6,0.0,0.0
71,sep,fri,17.7,37,3.6,0.0,0.0
72,mar,fri,15.6,25,6.3,0.0,0.0
73,aug,tue,17.3,43,4.5,0.0,0.0
74,sep,fri,27.6,30,1.3,0.0,0.0
75,feb,thu,6.7,79,3.1,0.0,0.0
76,feb,fri,15.7,43,3.1,0.0,0.0
77,mar,mon,8.3,72,3.1,0.0,0.0
78,aug,fri,14.7,66,2.7,0.0,0.0
79,aug,tue,21.6,19,6.7,0.0,0.0
80,aug,sun,19.5,39,6.3,0.0,0.0
81,aug,sun,17.9,44,2.2,0.0,0.0
82,aug,tue,18.6,51,4.5,0.0,0.0
83,aug,wed,16.6,47,0.9,0.0,0.0
84,aug,thu,20.2,45,3.6,0.0,0.0
85,sep,thu,21.5,15,0.9,0.0,0.0
86,sep,thu,25.4,27,2.2,0.0,0.0
87,sep,thu,22.4,34,2.2,0.0,0.0
88,sep,sun,25.3,36,3.6,0.0,0.0
89,mar,sat,17.4,25,4.9,0.0,0.0
90,aug,sat,14.7,59,5.8,0.0,0.0
91,mar,fri,17.4,24,5.4,0.0,0.0
92,aug,sun,20.8,32,6.3,0.0,0.0
93,aug,sun,18.2,43,4.9,0.0,0.0
94,aug,mon,23.4,22,2.7,0.0,0.0
95,sep,sun,17.8,64,1.3,0.0,0.0
96,feb,sat,12.7,48,1.8,0.0,0.0
97,mar,sat,17.4,24,5.4,0.0,0.0
98,aug,sun,11.6,87,4.5,0.0,0.0
99,aug,sun,19.8,39,5.4,0.0,0.0
100,aug,sun,19.8,39,5.4,0.0,0.0
101,aug,tue,14.4,66,5.4,0.0,0.0
102,aug,tue,20.1,40,4.0,0.0,0.0
