County Unreserved_Timberland_Total Unreserved_Timberland_SE Unreserved_Other_Total Unreserved_Other_SE Unreserved_Total_Total Unreserved_Total_SE Reserved_Productive_Total Reserved_Productive_SE Reserved_Other_Total Reserved_Other_SE Reserved_Total_Total Reserved_Total_SE All_Total All_SE
Alameda — — 205.4 104.5 205.4 104.5 — — — — — — 205.4 104.5 
Alpine 1,303.6 505.0 99.8 64.8 1,403.5 509.0 1,502.1 387.0 104.2 50.8 1,606.3 389.5 3,009.8 637.6 
Amador 1,187.8 529.7 40.1 18.4 1,227.9 530.0 278.9 177.5 — — 278.9 177.5 1,506.8 556.9 
Butte 2,931.3 724.6 229.9 93.9 3,161.2 730.4 — — 19.9 18.7 19.9 18.7 3,181.1 730.7 
Calaveras 1,420.5 444.6 289.4 83.9 1,710.0 451.9 22.1 22.5 — — 22.1 22.5 1,732.0 452.4 
Colusa 139.4 67.2 223.7 94.3 363.1 115.7 — — — — — — 363.1 115.7 
Contra_Costa — — 3.2 3.3 3.2 3.3 7.1 7.7 — — 7.1 7.7 10.4 8.4
Del_Norte 6,100.9 1,326.9 176.2 91.0 6,277.0 1,329.2 1,783.7 588.3 5.0 6.3 1,788.7 588.3 8,065.7 1,433.9
El_Dorado 6,205.6 930.4 188.4 95.6 6,394.0 934.0 1,239.1 701.1 180.6 102.4 1,419.7 708.5 7,813.7 1,147.6
Fresno 2,841.1 651.3 419.0 181.2 3,260.1 674.9 4,394.4 753.3 770.8 208.3 5,165.3 776.3 8,425.4 1,001.5
Glenn 1,168.7 522.3 134.7 69.9 1,303.4 526.5 50.5 53.0 — — 50.5 53.0 1,353.9 529.1
Humboldt 19,893.6 2,795.2 214.3 76.7 20,107.9 2,795.1 6,155.8 1,911.1 — — 6,155.8 1,911.1 26,263.8 3,313.3
Imperial — — 34.6 25.7 34.6 25.7 — — 4.2 4.3 4.2 4.3 38.8 26.1
Inyo 144.5 87.7 336.0 102.5 480.5 134.4 85.5 84.6 430.6 137.7 516.1 161.3 996.7 206.2
