,X,Y,FFMC,DMC,DC,ISI,temp,RH,wind,rain,fall,spring,summer,winter,weekday,weekend,area
0,0.75,0.4285714285714285,0.7816593886462884,0.08238144686742817,0.10132520229858098,0.210762331838565,0.19292604501607719,0.42857142857142855,0.7000000000000001,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1,0.75,0.2857142857142857,0.8777292576419213,0.11422637590861888,0.7754192564794183,0.2825112107623318,0.5080385852090032,0.2142857142857143,0.055555555555555546,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2,0.75,0.2857142857142857,0.8777292576419213,0.14295604015230182,0.7962941245455611,0.2825112107623318,0.39871382636655955,0.2142857142857143,0.09999999999999998,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,0.875,0.5714285714285714,0.9017467248908297,0.10695742471443404,0.08162307962941247,0.38565022421524664,0.1961414790996785,0.976190476190476,0.39999999999999997,0.14285714285714288,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4,0.875,0.5714285714285714,0.8493449781659388,0.16926272066458978,0.1105898909346781,0.41255605381165916,0.29581993569131837,1.0,0.15555555555555553,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
5,0.875,0.5714285714285714,0.9148471615720521,0.2869505019037729,0.5630350650873696,0.6412556053811658,0.6430868167202572,0.16666666666666669,0.5555555555555556,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
6,0.875,0.5714285714285714,0.9148471615720521,0.29941156109380407,0.5719479301043744,0.3632286995515695,0.7041800643086817,0.14285714285714285,0.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
7,0.875,0.5714285714285714,0.8973799126637554,0.49498096227068183,0.7039990618036825,0.4618834080717488,0.18649517684887462,0.8452380952380951,0.2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
8,0.875,0.5714285714285714,0.8864628820960698,0.4399446175147109,0.8029787733083148,0.2959641255605381,0.35048231511254024,0.5714285714285714,0.5555555555555556,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
9,0.75,0.4285714285714285,0.9192139737991267,0.2962962962962963,0.8100152456901607,0.3004484304932735,0.662379421221865,0.2976190476190476,0.39999999999999997,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
10,0.75,0.4285714285714285,0.9192139737991267,0.2962962962962963,0.8100152456901607,0.3004484304932735,0.5016077170418007,0.42857142857142855,0.7555555555555555,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
11,0.75,0.4285714285714285,0.9257641921397379,0.24506749740394598,0.8269027794065908,0.9955156950672646,0.54983922829582,0.2738095238095238,0.39999999999999997,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
12,0.625,0.4285714285714285,0.2860262008733625,0.23676012461059184,0.7709628239709159,0.017937219730941704,0.47588424437299043,0.6785714285714286,0.7000000000000001,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
13,0.625,0.4285714285714285,0.884279475982533,0.42956040152301833,0.7958250263867714,0.2959641255605381,0.6141479099678457,0.32142857142857145,0.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
14,0.625,0.4285714285714285,0.9279475982532754,0.453097957770855,0.811187991087135,0.39461883408071746,0.7781350482315113,0.07142857142857145,0.45555555555555555,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
15,0.625,0.4285714285714285,0.9366812227074237,0.4804430598823121,0.8279582502638677,0.6053811659192825,0.6655948553054662,0.3452380952380952,0.5555555555555556,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
16,0.5,0.4285714285714285,0.9017467248908297,0.11561093804084456,0.0854931394394277,0.3318385650224215,0.414790996784566,0.14285714285714285,0.5555555555555556,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
17,0.875,0.4285714285714285,0.7532751091703058,0.10522672204915194,0.7696728040342442,0.11659192825112108,0.46623794212218655,0.380952380952381,0.5000000000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
18,0.625,0.2857142857142857,0.8471615720524017,0.08826583592938732,0.07376568546968454,0.2645739910313901,0.4405144694533763,0.23809523809523808,0.39999999999999997,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
19,0.625,0.2857142857142857,0.7838427947598252,0.08653513326410521,0.10460888941010907,0.210762331838565,0.22829581993569137,0.3452380952380952,0.45555555555555555,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
20,0.625,0.2857142857142857,0.8864628820960698,0.4399446175147109,0.8029787733083148,0.2959641255605381,0.5176848874598072,0.2976190476190476,0.25555555555555554,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
21,0.5,0.2857142857142857,0.9039301310043668,0.2634129456559363,0.8401548023924006,0.39461883408071746,0.5434083601286175,0.2738095238095238,0.25555555555555554,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
23,0.75,0.2857142857142857,0.8689956331877731,0.3755624783662167,0.6209686876979008,0.2600896860986547,0.5562700964630225,0.3333333333333333,0.6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
24,0.75,0.2857142857142857,0.9410480349344978,0.47421253028729665,0.6875806262460421,0.8923766816143497,0.6913183279742765,0.20238095238095238,0.6,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
25,0.75,0.2857142857142857,0.8951965065502185,0.48459674627898924,0.6960243931042571,0.45739910313901344,0.45337620578778143,0.5357142857142856,0.5555555555555556,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
26,0.75,0.2857142857142857,0.9170305676855897,0.39979231568016615,0.7741292365427466,0.5291479820627801,0.5401929260450162,0.22619047619047622,0.6,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
27,0.75,0.2857142857142857,0.884279475982533,0.42956040152301833,0.7958250263867714,0.2959641255605381,0.5530546623794212,0.39285714285714285,0.09999999999999998,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
28,0.625,0.14285714285714285,0.9388646288209608,0.49498096227068183,0.8367538407411751,0.34529147982062774,0.9003215434083602,0.10714285714285715,0.25555555555555554,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
29,0.625,0.14285714285714285,0.9410480349344978,0.5084804430598823,0.8451976075993902,0.34529147982062774,0.662379421221865,0.2857142857142857,0.3555555555555555,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
30,0.625,0.14285714285714285,0.9585152838427948,0.28625822083766006,0.8026269496892224,0.6950672645739909,0.7459807073954985,0.10714285714285715,0.3555555555555555,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
